"companyName","email","email1","email2","city","country"
"ACHEMPAK","","","","",""
"ADANI PORT & SEZ","","","","","INDIA"
"Adani Ports and SEZ Ltd.","","","","","India"
"AGRO-JUMAL","","","","",""
"Agrolitpa Italy","","","","",""
"AGROMAS SA","","","","","URUGUAY"
"AMC Polymers","","","","",""
"Andrea Cardoso Alves","andrea.c.alves@outlook.com","","","",""
"ANZEN EXPORTS","","","","","INDIA"
"Archean Chemical Industries P Ltd.","","","","",""
"Arfin India Ltd","","","","Gandhinagar","India"
"Aricent Export LLP","","","","",""
"ARROW ASSOCIATES","","","","",""
"AS COMMERRCE SRL","lawrence.govender@access.co.za","","","","South Africa"
"Associated Industries Limited","","","","",""
"BAG SUPPLIES CANAADA LTD","","","","",""
"BAGCORP","","","","",""
"BALCON ENTERPRISES INC","564654","","","",""
"Baobag","","","","",""
"Barcelona","","","","",""
"Bayer MaterialScience","","","","",""
"Bazzel","","","","",""
"BB Fertil","","","","",""
"BB Trade","","","","",""
"BBG Foliengesellschaft","","","","",""
"BBM Promocel","","","","",""
"Begas Agro","","","","",""
"Belko Bits","","","","",""
"BERG BAG COMPANY","","","","",""
"Best BV","Shailendra@bestbv.nl","0","0","0","Neitherland"
"BEST PACK","","","","",""
"Big Bag Paraguay","","","","",""
"Big Bagi Poland","","","","",""
"BIG BAGS Y SACOS VALENCIA S.L","","","","",""
"Big Pal Sarl","","","","",""
"Bigbag Sweden AB","","","","",""
"BIGBAGSTORE.NL","","","","","Holland"
"Blastrite Pty Ltd.","","","","",""
"BLUE LINE CHEMICALS ","","","","",""
"BLUE PACK","","","","",""
"Bohemia Bag S.R.O.","","","","",""
"BOLPAMUR","","","","",""
"Bonsuceso Textil","","","","","Chile"
"BONZAGNI","","","","",""
"Borealis Group","","","","",""
"Bouwcenter","","","","",""
"Boxon Bag France","","","","",""
"Boxon Bag Germany","","","","",""
"Boxon Bags AB","","","","",""
"BPC","","","","","Egypt"
"Bramco W.L.L.","","","","",""
"Brammer","","","","",""
"Bratpol","","","","",""
"Bricoalliance EIG","","","","",""
"BULK BAG DEPOT","bettyzoll@windstream.net","0","0","HARDEEVILLE","USA"
"bulk bag n pallets","","","","",""
"Bulk bag Tec","","","","",""
"BULK HANDLING AUSTRALIA","","","","",""
"BULK MOTION","drik.lange@bulkmotion.com","","","",""
"BUYERSHELP","","","","",""
"BYR Ltda.","","","","","Chile"
"C BAG","info@cbag.nl","","","Geleen","Netherlands"
"C.B. Choudhary","","","","",""
"C.I.T.C. U.S.A.","","","","",""
"Callion srl","","","","",""
"Candlelightbags","","","","",""
"Capro Industries","","","","",""
"CAPRO INDUSTRIES","gladys@capro.net","0","0","LA","USA"
"Carbognani","","","","",""
"Cargill.com","abc","","","",""
"Cargo Logistics","","","","",""
"CARLOSSOUSA","","","","",""
"Carmeuse","","","","",""
"CAROLINA S.A","","","","","URUGUAY"
"CENTRAL BAG COMPANY","","","","",""
"Centurion Packaging","","","","",""
"CERPLAST","","","","",""
"Cesur Benelux BV","","","","",""
"Cesur Packaging","","","","",""
"CESUR PACKAGING (UK) LIMITED","","","","","UK"
"CESUR UK","","","","","UK"
"Cesur USA","","","","","USA"
"Cevital","","","","","Algeria"
"Charufasteners","","","","",""
"Chatchai Pichayapakgul","","","","",""
"CHEMPACK RUSSIA","","","","",""
"CHENGUANG BIOTECH","","","","",""
"Christopher Paolo Scremin Figueira","","","","",""
"cliffe industrial","","","","",""
"CLIMESA","","","","",""
"CMTP","","","","",""
"CODEFINE","","","","",""
"CODEFINE SA","","","","",""
"Codex Sarl","","","","",""
"COFERDROZA","","","","",""
"COJUBEL","","","","",""
"COLIPLEX ","","","","",""
"COLUMBIABURLAP.COM","mcolby@columbiaburlap.com     ","","","",""
"COMBOPACK","","","","",""
"Comercial-Bigbags","","","","",""
"COMEXPORT","","","","","URUGUAY"
"Commercial Agrocenter SPA","","","","","Chile"
"COMMERCIAL PACKAGING","","","","NORMAL","USA"
"Compac","","","","",""
"Compras techpacking","","","","",""
"CONDEPOLS","","","","",""
"Conitex","","","","",""
"CONITEX","0","0","0","o","USA"
"CONITEX SONOCO","achittora@in.conitex.com","0","0","","USA"
"Conrop S.r.o","","","","",""
"Container Service","","","","",""
"CONTEBIL","","","","",""
"Continental Carbon","","","","",""
"continental industrial proudcs","tyler@bulkbag.com","","","ontario","canada"
"Coplasem SL","","","","",""
"Coresa S.A.","","","","",""
"CORFIL","","","","",""
"CORISAC","","","","",""
"Cormanbag","","","","",""
"CORNING .COM","","","","",""
"CORRPAK BULK PACKAGING SYSTEMS","","","","",""
"COTESI","","","","",""
"COTESI SA","","","","",""
"Cotizacion","","","","",""
"COVIA","","","","",""
"Crystal Group of Industries","","","","",""
"CYRCON LTD.","","","","",""
"D GIL","","","","",""
"D.A.Pak","","","","",""
"Daehan Polycon co. ltd.","","","","",""
"DAJUSA","","","","",""
"Daltex Corporation","","","","Giza","Egypt"
"Danishshellfish","","","","",""
"Darplast Ltd.","","","","",""
"DATTAR PLASTICS","","","","",""
"dc-asia","","","","",""
"DEAD SEE WORKS LTD","","","","",""
"Deepak Fertilizers","","","","",""
"DELCOSPA","","","","",""
"Delta Conship Pvt. Ltd.","","","","",""
"DEPO","andrejs.solomcenko@ depo.lv","","","","Latvia"
"DESA.COM","","","","",""
"DESABAG GmbH","","","","","Germany"
"Descours & Cabaud","","","","",""
"Detmold","","","","",""
"DETMOLD INDUSTRIAL PACKGING","","","","",""
"Devi Enterprises","","","","",""
"devpolymers","","","","",""
"dilen ji","","","","",""
"Dillers S.A","","","","",""
"DINO BAGS","","","","",""
"Dinsdag","","","","",""
"Dipak Shah","","","","",""
"Disaka","","","","",""
"DNL Bags Global","","","","",""
"Domestic","","","","",""
"Don Christian","","","","Lancashire",""
"Donnlow","","","","",""
"DOSAFA DORTMUND ","","","","",""
"Dragon Alliance Sdn. Bhd.","","","","",""
"Dudley","","","","",""
"DUMO","","","","",""
"E.LC.I PACK","","","","",""
"Earnest Globalisation Technology India Pvt. Ltd.","","","","",""
"ECE Guler","","","","",""
"Ecopak","","","","",""
"EDEGETECH PRODUCTS","","","","Brentwood","Brentwood"
"EDGE TECH","","","","",""
"Eduardo S. Neto","","","","",""
"eim","","","","",""
"Eiva-Safex AS","","","","",""
"ELECS ","","","","",""
"Elmiawood","","","","",""
"ELPI Trading Company","","","","",""
"ELWAY Industries","","","","",""
"EMBAL","","","","",""
"Embalex","","","","",""
"Emerald global","","","","",""
"E-MIMEX","info@e-mimex.com","0","0","0","Spain"
"EMIRATES LIME FACTORY","","","","",""
"Endurapak Inc.","","","","",""
"ensacar Mexico ","","","","Maxico",""
"Enver Gucluer","","","","",""
"EPCOS INDIA PRIVATE LTD","chowdhury@epcos.com","","","kalyani nadiya","France"
"EPM Trading","","","","",""
"ERIC STORM A/S","","","","",""
"ESKAY INTERNATIONAL","","","","",""
"Eupak Ltd","","","","",""
"EURO Group","","","","",""
"Euro Pack","","","","",""
"Europackaging","","","","",""
"Evalueserve","","","","","123"
"Evropac","","","","",""
"EWINGS INTERNATIONAL ","","","","",""
"EWOS CHILE (CARGIL)","","","","",""
"EXIM","","","","",""
"F2 SERVID S.L.","","","","",""
"Fairflex","","","","",""
"Farmapack","","","","",""
"Faucets Engineering & Construction Ltd","","","","",""
"Fernando Borges","","","","",""
"FERROLAM","","","","",""
"Fertiplast","","","","",""
"FIBC Canada","","","","",""
"FIBC TURK","","","","",""
"Fibras de centromerica S.A","","","","",""
"Filbags","","","","",""
"Flexcon","","","","",""
"Flexcon Australia","","","","",""
"Flexibox","","","","",""
"Flexicont","","","","",""
"FlexiFill","","","","",""
"Flyholding","","","","","Tunisia"
"Fortegroup","","","","",""
"Frankonia Corporation Ltda.","","","","",""
"Freepack","","","","","South Africa"
"Friends group","","","","",""
"fritz marketing","","","","",""
"Frontier","","","","",""
"Futuristix (Pvt) Ltd.","","","","",""
"Garbocorp Pty.Ltd.","","","","",""
"Garden Bareli","","","","",""
"Garnet Sales","","","","",""
"GATTO","","","","",""
"Gefahrgutverpackungs GmbH","","","","",""
"Gelco","","","","",""
"GELPAC DISTRIBUTION","","","","",""
"George Patsakis","","","","",""
"GEOTY Ltd.","","","","",""
"Gerry C.","","","","",""
"GHCL","","","","",""
"GI BAGS","","","","",""
"GI.ON SRL","","","","",""
"GIL Big Bag","","","","",""
"Gimpex Ltd","","","","",""
"GIOVANNI IMP/EXP","","","","",""
"Gleco A/S","","","","",""
"Global Drilling","","","","",""
"Global Material Handling Products","","","","",""
"Global Multi Chem","","","","",""
"GLOBAL PAK","","","","",""
"Global Polychem LLC.","","","","",""
"global sand","","","","",""
"Global traffic","","","","",""
"GLORIA  S.A.","","","","",""
"GMA","","","","",""
"Gokul","","","","",""
"G-PACK","geert@g-pack.be","","","","Belgium"
"GPK Products","","","","",""
"GRANADA HOLDINGS (PTY) LTD","","","","",""
"Graphite India Limited","","","","",""
"Greece","","","","",""
"Green Packaging Kft.","","","","","Hungary"
"Greenpackaging hungry","","","","",""
"GREIF","","","","",""
"GREIF BENELUX","","","","",""
"Greif Chille","","","","",""
"GREIF FLEXIBLE AUSTRALIA","","","","",""
"Greif Flexible Sweden AB","","","","",""
"Greif Flexibles UK Limited","","","","",""
"GREIF FLEXILBE FINLAND","","","","",""
"Greif France","","","","",""
"GREIF GERMANY","","","","",""
"Greif Ireland","","","","",""
"Greif Italy","","","","",""
"Greif Netherland","","","","",""
"Greif Portugal","","","","",""
"Greif Turkey","","","","",""
"GREIF USA","","","","",""
"Grief","","","","",""
"GRIEF GERMANY","","","","",""
"Gujarat Co-Operative Milk Marketing federation ltd.-Anand","","","","",""
"Gujrat Sidhee Cement","","","","",""
"Gulab ji","","","","",""
"Gulf Coast Bags","","","","",""
"Gulf Plastic Industies","","","","",""
"Gulf Star Dubai","","","","",""
"Gupta Grinding Mills","","","","",""
"H Polesy & Co Pty LTd.","","","","",""
"H.V. Ooserhout jarifadi bv","","","","",""
"Haccom Trading B.V.","","","","",""
"halsted bag","","","","",""
"Halstedbag","","","","",""
"Hartley Commercial Bags","myron.hartleybags@gmail.com","0","0","UT","USA"
"HELLAgro S.A. ","","","","",""
"Helmut Feldtmann KG","","","","bb","Germany"
"HENK","","","","",""
"Henry W. Peabody","geoff@hwpeabody.com","","","",""
"HI TECH CARBON","","","","",""
"Holrosethreads","","","","",""
"HORITOMI CORP.","a_peyton@horitomi.co.jp","","","","Japan"
"HOSTFARGER LIMITED","","","","","U.S.A"
"Houston","","","","",""
"HOYO SANGYO Co. Ltd.","","","","",""
"HPolesy","","","","",""
"HTL -Service.se","","","","",""
"Hungarosack","","","","",""
"HZDBogdan sobek","","","","",""
"Ibercaya Plus","","","","",""
"Icloud ","","","","",""
"IFGL EXPORTS LIMITED","","","","",""
"IGNACIO RIVERA CRUZ","","","","",""
"IHSEDU","","","","",""
"ILERAFITEX","","","","",""
"Ilunga N Goy","","","","",""
"Imerys ","","","","",""
"Impexsolution","","","","",""
"INDORAMA VENTURES","","","","",""
"Indrabhan Singh","","","","",""
"Industrial Bags, Australia","0","0","0","NSW","AUSTRALIA"
"INET Investcorp Pty LTD","","","","",""
"Infinite Sum Inc.","snagarajan@infinitesum.com","","","",""
"Innopack","","","","",""
"InoPackaging OHG","","","","","Germany"
"Inova plc","","","","",""
"Integrated Recycling Industries","","","","",""
"Interjute","","","","",""
"Intermark","","","","",""
"Interpac","","","","",""
"Interplas Mexico.","","","","",""
"Interpolymer Inc.","","","","",""
"Intertape Polymer Group Inc.","","","","",""
"INVEMA","","","","",""
"IOCL","","","","",""
"IOL CHEMICALS AND PHARMACEUTICALS LTD.","","","","",""
"Isbir Sentetik","","","","",""
"Iscompany","","","","",""
"ISUSTAIN","","","","",""
"Iversen Emballage","info@iversenemballage.dk","","","","Denmark"
"IZOMER","","","","",""
"J.DUTTA","","","","",""
"J.K. WHITE CEMENT","","","","",""
"J.P. Cement","","","","",""
"Jai Group.com","","","","","India"
"Jai Talwar","","","","",""
"James  Collins","","","","",""
"JAN-OWE WALLBERG","","","","",""
"JARVIS TRADING","","","","",""
"Jay Shah","","","","",""
"Jayant Vasa","","","","",""
"JBF RAK LLC","","","","",""
"Jim Helton","","","","",""
"JINDAL SAW","","","","",""
"JMJ BULK PACKAGING","sales@jmjbags.com","","","Corby","England"
"JOHN BUTZE","","","","","USA"
"John Pack","","","","",""
"JOSE CARLOS","","","","",""
"Jose M. Camargo","","","","",""
"Josh UK","","","","",""
"Jotun India Pvt. Ltd.","","","","Pune",""
"JUBILANT INDUSTRIES","","","","",""
"Jumbo Bag Corp.","","","","",""
"Jumbo Bag Corppration","","","","",""
"jumbo sack","","","","",""
"JUMBO TAINER","","","","",""
"JUMBOCELL","","","","",""
"Jumbostrap","","","","",""
"JUTA AS","0","0","0","0","0"
"Jviolas Portugal","","","","",""
"JYOTI INTERNATIONAL","","","","",""
"K C BAG","","","","",""
"K.G.R. NAIR","","","","",""
"Kale Enterprises INC","","","","",""
"KAM Group","","","","",""
"KAM GROUP ","X","","","",""
"KAM GROUP  INC"," michael@kam-group.com","","","",""
"KAM GROUP INC ","","","","",""
"KAM GROUP INC.","","","","",""
"KAM GROUP USA","X","","","",""
"KAMA INT","","","","",""
"KaMin LLC","","","","",""
"Kandla Agro and Chemical Pvt. Ltd.","","","","",""
"Kanpur Plastipack Ltd","","","","",""
"Kansascitybag","","","","",""
"Kaptex","","","","",""
"Karaca","","","","",""
"Karl Weiterer","","","","",""
"Karl-Gregor Gigler ","","","","",""
"KEMAPCO","www..kemapco.com","www..kemapco.com","","JORDAN",""
"KESARI SALT","","","","",""
"Kimmplast","","","","",""
"King Bag","","","","",""
"KM OBALY s.r.o.","","","","",""
"KNACK POLYMERS","","","","",""
"KO&CO","","","","",""
"Kobayashi Co Ltd","","","","",""
"KOCOKFT","","","","",""
"KOHINOOR RICE","","","","",""
"Kohsei Bldg","","","","",""
"Kohsei Co LTD","","","","",""
"Komercijalist","","","","",""
"Konitex","","","","",""
"Korea Trade Agency","korindiatrade@gmail.com","","","New Delhi","India"
"Kotap","","","","",""
"KUKU International Packaging","","","","",""
"Kutch Brine Chem Industries","","","","",""
"KYMA group","","","","",""
"L C PACKAGING UK LTD","","","","UK",""
"L&M Supply Co","","","","",""
"Lalit Kumar","","","","",""
"LANCAS SUPPLY","ed@lancas.co.za","","","LA LUCIA",""
"lanex","","","","",""
"LANGDON INGREDIENTS","","","","",""
"LANGSTON COMPANIES INC.","","","","",""
"Lapo Sermattei","","","","Prato","Italy"
"Larapal Packaging SARL","angel@larapalpacking.com","","","Larache","Morocco"
"larkrose","","","","",""
"Lasheen","","","","",""
"LASHEEN S.A.E.","","","","",""
"lavie","","","","",""
"lavie Gmbh","","","","",""
"LAXMI MINERALS","","","","",""
"LBK Packaging","","","","",""
"LC Belgium","","","","",""
"LC Embalajes","","","","",""
"LC Ireland","","","","",""
"LC Packaging Africa","","","","",""
"LC Packaging France","","","","",""
"LC Packaging International","","","","",""
"LC Packaging Netherland","","","","",""
"LC Packaging Spain","","","","",""
"LC Packging","","","","",""
"LEAFAN Ltd.","","","","",""
"Lean Packaging","","","","",""
"LECOMTE SECURITAS","","","","",""
"LEWIS TRADING ","","","","",""
"Lewis Trading Corp.","","","","",""
"Lincon Polymers","","","","",""
"Lisbon","","","","",""
"LOADLOK","jmoret@loadlok.com","","","",""
"local","","","","",""
"LOEE BROCK","","","","",""
"Louis Blockx","","","","",""
"Louis Dreyfus","","","","",""
"LOUISIANA BAG","","","","",""
"M K DOOR","","","","",""
"M.S.K.-Almor","","","","","Israel"
"M/S M.L.ENTERPRISES","","","","",""
"Maba - Verpackungen","","","","",""
"MACCIO","","","","",""
"MADA TRADE CO.","","","","",""
"MADCAP GLOBAL PACKAGING","stephen@madcapglobal.com","","","brisbane","australia"
